Country,ISO Code,ID 2021,Latitude,Longitude,BCM 2021,Type
United States,USA,1504,31.797193,-103.845704,0.000565823,upstream oil
United Arab Emirates,ARE,8365,25.564788,54.191024,0.000565656,upstream oil
Bahrain,BHR,8079,26.073239,50.584959,0.000565468,upstream oil
Netherlands,NLD,5245,52.400138,4.788444,0.000565345,refinery
Iraq,IRQ,7389,35.846361,44.078764,0.000565157,upstream oil
Libya,LBY,5743,30.156141,19.749154,0.000564904,upstream oil
United States,USA,647,48.31509,-103.142511,0.000564799,upstream oil
Brazil,BRA,4804,-9.671636,-35.82758,0.000564705,upstream oil
Egypt,EGY,7181,31.453195,31.75295,0.000564482,lng
United States,USA,2272,32.046228,-102.250109,0.000564399,upstream oil
United States,USA,1915,31.765876,-103.442064,0.000563586,upstream oil
United States,USA,352,41.259766,-110.802205,0.000563513,upstream oil
Canada,CAN,131,55.87936,-119.287554,0.00056349,upstream oil
United States,USA,3377,29.43544,-97.241837,0.000563381,upstream oil
United States,USA,1472,31.796733,-103.888383,0.000562902,upstream oil
United States,USA,2880,27.911,-99.517148,0.000562603,upstream oil
United States,USA,1425,31.896322,-103.940624,0.000562227,upstream oil
United Kingdom,GBR,4962,58.304037,-1.747419,0.000562013,upstream oil
United States,USA,3361,29.262095,-97.345324,0.000561902,upstream oil
Russian Federation,RUS,10285,60.453936,96.212559,0.000561899,upstream oil
United States,USA,1383,31.688027,-104.002696,0.000561441,upstream oil
United States,USA,2169,32.379247,-102.818824,0.000561241,upstream oil
Russian Federation,RUS,10499,59.95442,110.746085,0.000560757,upstream oil
Russian Federation,RUS,10316,60.395953,96.48755,0.000560724,upstream oil
United States,USA,1834,31.02983,-103.527699,0.000560205,upstream oil
Russian Federation,RUS,10302,60.420823,96.379334,0.000559729,upstream oil
Russian Federation,RUS,6826,53.812337,51.775114,0.000559609,upstream oil
United States,USA,759,47.992406,-102.915477,0.000558394,upstream oil
Australia,AUS,12465,-23.346776,148.292684,0.000558388,upstream oil
United States,USA,1526,31.897353,-103.821536,0.000558033,upstream oil
United States,USA,2074,31.491684,-103.131728,0.000557405,upstream oil
Russian Federation,RUS,9487,67.819925,83.446816,0.000556483,upstream oil
Kuwait,KWT,7594,29.936799,47.745016,0.000556081,upstream oil
Denmark,DNK,5311,55.653069,11.09806,0.000555118,refinery
Indonesia,IDN,11897,-1.728167,103.649821,0.000554736,upstream oil
China,CHN,9696,41.686168,83.316538,0.00055427,upstream oil
China,CHN,12135,40.664709,121.463049,0.00055407,upstream oil
United States,USA,429,42.788387,-105.487441,0.000554053,upstream oil
Brazil,BRA,4781,-9.449422,-40.349922,0.000553515,upstream oil
United States,USA,2121,33.166696,-103.012578,0.000552764,upstream oil
United States,USA,2638,31.272462,-101.586878,0.000552635,upstream oil
Italy,ITA,5720,38.202992,15.303466,0.00055223,refinery
United States,USA,1890,32.310966,-103.463771,0.000551687,upstream oil
United States,USA,1907,32.137988,-103.451419,0.000551522,upstream oil
Russian Federation,RUS,10382,57.900983,105.815534,0.00055051,upstream oil
Russian Federation,RUS,8743,60.851057,70.080259,0.000550298,upstream oil
Canada,CAN,202,54.172879,-118.327053,0.000550251,upstream oil
China,CHN,11441,38.812047,117.419445,0.000549732,refinery
Canada,CAN,108,58.447136,-119.22941,0.000548552,upstream oil
United States,USA,2130,31.596332,-102.991181,0.000547991,upstream oil
United States,USA,3462,30.710144,-96.494897,0.000547604,upstream oil
Brazil,BRA,4891,-23.0819,-41.008869,0.000547407,upstream oil
Russian Federation,RUS,8942,70.968474,74.539799,0.000547307,upstream gas
Russian Federation,RUS,6726,55.866819,48.992844,0.000546239,refinery
Kazakhstan,KAZ,9559,44.291773,71.266791,0.000546092,upstream oil
Russian Federation,RUS,9308,66.262418,78.720816,0.000545725,upstream oil
United States,USA,3226,27.570903,-97.817305,0.000545564,upstream oil
Oman,OMN,8544,21.246184,56.347268,0.000545288,upstream oil
United States,USA,4115,39.698812,-80.899893,0.000544689,upstream oil
United States,USA,3221,28.920801,-97.825767,0.000544483,upstream oil
United States,USA,1883,32.170294,-103.47452,0.000544313,upstream oil
Russian Federation,RUS,10344,60.845916,97.288063,0.000544049,upstream oil
Russian Federation,RUS,9439,63.432147,80.4906,0.000544031,upstream oil
United States,USA,809,48.343056,-102.862167,0.000543943,upstream oil
Russian Federation,RUS,9103,67.509236,76.663658,0.000542992,upstream gas
Russian Federation,RUS,7003,51.859365,54.775245,0.000542326,upstream gas
United States,USA,2292,32.045173,-102.210848,0.000542179,upstream oil
Russian Federation,RUS,8790,71.382538,71.471874,0.000542085,upstream gas
United States,USA,782,48.46085,-102.885189,0.000541428,upstream oil
China,CHN,9606,41.298573,81.84554,0.000541225,upstream oil
Russian Federation,RUS,9295,64.929254,78.370428,0.000541143,upstream oil
United States,USA,2577,31.38847,-101.701229,0.000540811,upstream oil
Argentina,ARG,4579,-22.707665,-64.111574,0.000540588,upstream oil
China,CHN,12299,39.976504,121.059237,0.000540198,upstream oil
United States,USA,3168,28.942345,-97.992175,0.000540004,upstream oil
Canada,CAN,424,50.388146,-105.515503,0.000539115,upstream oil
Pakistan,PAK,9976,26.102527,68.740137,0.000539062,upstream oil
Panama,PAN,4146,9.338446,-79.908284,0.000538821,Other ex LNG
Russian Federation,RUS,10291,60.412823,96.279116,0.000538686,upstream oil
United States,USA,1952,32.271761,-103.384785,0.000538557,upstream oil
Russian Federation,RUS,9144,67.784733,76.936092,0.000538237,upstream gas
Algeria,DZA,5524,31.695212,6.129163,0.000538067,upstream oil
United States,USA,2897,28.444848,-99.437718,0.000538043,upstream oil
United States,USA,2336,31.86507,-102.12034,0.000537632,upstream oil
Equatorial Guinea,GNQ,6172,3.77913,8.703554,0.000536922,lng
Ukraine,UKR,6535,50.585878,32.700287,0.000536893,upstream oil
Canada,CAN,677,49.566931,-103.060351,0.000536881,upstream oil
China,CHN,10965,35.743384,108.062943,0.000536725,upstream oil
China,CHN,11047,38.787202,109.048719,0.000536273,upstream oil
United States,USA,3281,34.737948,-97.637319,0.000535965,upstream oil
United States,USA,505,48.024579,-103.654057,0.000535557,upstream oil
United States,USA,2869,28.371877,-99.574919,0.000535531,upstream oil
